Nom,Catégorie,URL,INCI,Nom botanique,Texte brut,Qualité,Date
Ambiance fragrance,Fragrances,https://www.purearome.com/fr/produit/ambiance-fragrance,Fragrance,,"Fragrance Ambiance | Fraîcheur Marine et Ozonée – Pure Arôme  Accueil Produits Ambiance fragrance Ambiance fragrance Sku: FAMBIA En stock Ambiance fragrance Sku: FAMBIA En stock 6,95 $ CAD Produit non disponible à l'achat en ligne Partager Fragrance Ambiance – Pure Arôme Laboratoire La fragrance Ambiance est une composition olfactive fraîche, aérienne et enveloppante, conçue pour instaurer une atmosphère propre, apaisante et contemporaine. Dès l’ouverture, elle dévoile une fraîcheur lumineuse aux accents marins et ozonés, évoquant l’air pur et les espaces ouverts. Le cœur reste clair et équilibré, apportant une sensation de légèreté et de fluidité, tandis que le fond prolonge cette impression par une signature fraîche, douce et durable. La fragrance Ambiance est moderne, polyvalente et professionnelle, idéale pour créer des environnements harmonieux et raffinés. Notes olfactives Tête : fraîcheur marine, accords ozonés lumineux Cœur : notes propres et aériennes, sensation de légèreté Fond : fond frais persistant, ambiance douce et équilibrée Usages et applications La fragrance Ambiance est parfaitement adaptée aux formulations visant à créer une atmosphère fraîche et accueillante : Savons et cosmétiques : jusqu’à 3 % Chandelles et fondants : 6 à 10 % Diffuseurs et sprays d’ambiance : 10 à 15 % Caractéristiques techniques INCI : Parfum (Fragrance) Aspect : liquide clair à jaune pâle Odeur : fraîche, marine et ozonée Densité : 0.9941 – 1.0041 (20/20) Indice de réfraction : 1.5168 – 1.5268 (20 °C) Point éclair : 194 °F Vanilline : 0 % Solubilité : soluble dans l’alcool et les bases huileuses, insoluble dans l’eau Origine : fabriquée au Québec, Canada Sans parabènes, sans phtalates, non testée sur les animaux Mise en garde Usage externe uniquement – ne pas ingérer. Ne pas appliquer pur sur la peau. Éviter le contact avec les yeux et les muqueuses. Tenir hors de portée des enfants. Respecter les dosages recommandés et effectuer des tests préalables dans vos formulations. Pure Arôme Laboratoire ne peut être tenu responsable des accidents, incidents ou dommages causés par l’utilisation du produit fini créé par le client. Note importante, mais tout en douceur : Nous t’encourageons toujours à réaliser des essais en petite quantité avant toute production. Chaque création est unique : Pure Arôme Laboratoire partage ses conseils avec rigueur et bienveillance, et reste à tes côtés pour t’accompagner 💛. Document : Allergènes Ambiance fragrance.pdf ",Propre,2026-03-27
Aura fragrance,Fragrances,https://www.purearome.com/fr/produit/aura-fragrance,Fragrance,,"Fragrance Aura | Fragrance lumineuse, riche et élégante premium  Accueil Produits Aura fragrance Aura fragrance Sku: FAURA En stock Aura fragrance Sku: FAURA En stock 6,95 $ CAD Produit non disponible à l'achat en ligne Partager Fragrance Aura – Pure Arôme Laboratoire La fragrance Aura est une signature olfactive riche, lumineuse et intensément élégante, pensée pour créer une présence qui ne passe pas inaperçue. Dès les premières secondes, elle libère une fraîcheur éclatante et raffinée qui capte l’attention et installe une ambiance chic et énergisante. Le cœur se révèle plus rond et sophistiqué, avec une sensation soyeuse qui enveloppe l’espace d’une élégance naturelle et contemporaine. Le fond prolonge l’expérience avec une tenue propre, subtilement chaleureuse et durable, laissant un sillage luxueux qui donne envie d’y revenir. Aura n’est pas une fragrance ordinaire : c’est une ambiance signature, moderne et magnétique, conçue pour des créations haut de gamme qui veulent marquer les esprits. Notes olfactives Tête : éclat frais lumineux, envolée propre et vibrante Cœur : accord floral soyeux, élégance aérienne et raffinée Fond : muscs doux enveloppants, sillage chic et persistant Usages et applications La fragrance Aura est idéale pour des créations qui veulent projeter une image luxueuse, moderne et lumineuse : Savons et cosmétiques : jusqu’à 3 % Chandelles et fondants : 6 à 10 % Diffuseurs et sprays d’ambiance : 10 à 15 % Caractéristiques techniques INCI : Parfum (Fragrance) Aspect : liquide clair à jaunâtre Odeur : florale, fruitée, fraîche et caractéristique Densité : 0.9727 – 0.9827 (20/20) Indice de réfraction : 1.4850 – 1.4950 (20 °C) Point éclair : 1 95.8 ° F Vanilline : &lt; 0.05 % Solubilité : soluble dans l’alcool, insoluble dans l’eau Origine : fabriquée au Québec, Canada Sans parabènes, sans phtalates, non testée sur les animaux Mise en garde Usage externe uniquement – ne pas ingérer. Ne pas appliquer pur sur la peau. Éviter le contact avec les yeux et les muqueuses. Tenir hors de portée des enfants. Respecter les dosages recommandés et effectuer des tests préalables dans vos formulations. Pure Arôme Laboratoire ne peut être tenu responsable des accidents, incidents ou dommages causés par l’utilisation du produit fini créé par le client. Note importante, mais tout en douceur : Nous t’encourageons toujours à réaliser des essais en petite quantité avant toute production. Chaque création est unique : Pure Arôme Laboratoire partage ses conseils avec rigueur et bienveillance, et reste à tes côtés pour t’accompagner 💛. Document : Allergènes Aura fragrance.pdf ",Propre,2026-03-27
Baie d'Açai fragrance,Fragrances,https://www.purearome.com/fr/produit/baie-dacai-fragrance,"Fragrance (Cinnamate de méthyle, Acétate de 4-allyl-2-méthoxyphényle, bêta-Damascone, Géraniol Aspect : liquide jaune clair à incolore Odeur : fruitée, douce et légèrement boisée Densité : 1)",,"Fragrance Baie d’Açai – Cosmétiques et chandelles  Accueil Produits Baie d'Açai fragrance Baie d'Açai fragrance Sku: FBACAI En stock Baie d'Açai fragrance Sku: FBACAI En stock 6,95 $ CAD Produit non disponible à l'achat en ligne Partager Fragrance Baie d’Açai – Pure Arôme Laboratoire La fragrance Baie d’Açai évoque la fraîcheur fruitée et vibrante des baies amazoniennes, enveloppée d’une élégance douce et exotique. Elle s’ouvre sur des notes pétillantes et sucrées rappelant la pulpe d’açai fraîchement cueillie, avant de révéler un cœur rond et harmonieux aux accents floraux et légèrement boisés. En fond, une touche ambrée et balsamique apporte chaleur et profondeur, créant une signature olfactive raffinée et envoûtante. Idéale pour vos bougies parfumées , savons et diffuseurs , elle marie exotisme et modernité dans une composition captivante et durable. Notes olfactives Tête : pulpe fraîche de baies d’açai et éclat fruité Cœur : nuances florales et boisées douces Fond : accords ambrés et balsamiques délicats Usages et applications La fragrance Baie d’Açai sublime vos créations avec une touche tropicale élégante : Savons et cosmétiques : jusqu’à 3 % Bougies et fondants : jusqu’à 10 % Diffuseurs et sprays d’ambiance : 10 à 15 % Caractéristiques techniques INCI : Parfum (Fragrance) Allergènes à déclarer : Cinnamate de méthyle, Acétate de 4-allyl-2-méthoxyphényle, bêta-Damascone, Géraniol Aspect : liquide jaune clair à incolore Odeur : fruitée, douce et légèrement boisée Densité : 1.076 (20 °C) Indice de réfraction : 1.479 – 1.489 (20 °C) Point éclair : &gt; 206.6 °F Vanilline : &lt; 0.05 % Solubilité : soluble dans l’alcool et les bases huileuses, insoluble dans l’eau Origine : fabriqué au Québec, Canada Sans parabènes, sans phtalates, non testé sur les animaux Mise en garde Usage externe uniquement – ne pas ingérer. Ne pas appliquer pur sur la peau. Éviter le contact avec les yeux et les muqueuses. Tenir hors de portée des enfants. Respecter les dosages recommandés et effectuer des tests préalables dans vos formulations. Pure Arôme Laboratoire ne peut être tenu responsable des accidents, incidents ou dommages causés par l’utilisation du produit fini créé par le client. Note importante, mais tout en douceur : Nous t’encourageons toujours à réaliser des essais en petite quantité avant toute production. Chaque création est unique : Pure Arôme Laboratoire partage ses conseils avec rigueur et bienveillance, et reste à tes côtés pour t’accompagner 💛. Document : Allergènes Baie d'Açai fragrance.pdf ",Propre,2026-03-27
Baiser obscur fragrance,Fragrances,https://www.purearome.com/fr/produit/baiser-obscur-fragrance,Fragrance,,"Baiser obscur fragrance Accueil Produits Baiser obscur fragrance Baiser obscur fragrance Sku: FOBSCU En stock Baiser obscur fragrance Sku: FOBSCU En stock 6,95 $ CAD Produit non disponible à l'achat en ligne Partager Fragrance : Baiser obscur INCI : fragrance Découvrez l’arôme mystérieux et captivant Baiser Obscur, une fragrance envoûtante qui marie des notes profondes et boisées à une douceur florale enivrante ( notes : nénuphar, vanille, sucre rose, noix de coco et une touche de géranium) . Idéale pour les créations de cosmétiques raffinés, de bougies luxueuses ou tout autre projet DIY, cette fragrance révèle une sensualité intemporelle et une profondeur sophistiquée. Caractéristiques principales : Notes olfactives : Mélange séduisant de vanille boisée, de coco et de subtiles touches florales. Utilisation recommandée : Convient aux savons, aux crèmes, aux lotions, aux chandelles, aux diffuseurs et autres créations personnalisées. Points forts : Stabilité exceptionnelle dans divers produits, arôme durable et concentré. Qualité : Formulée spécifiquement pour une utilisation sécuritaire dans les produits cosmétiques et les chandelles. Couleur : Liquide légèrement ambré. Applications et dosages suggérés : Cosmétiques : Jusqu’à 3 % (savons, crèmes, lotions). Chandelles : Jusqu’à 10 % pour une diffusion optimale de l’arôme. Diffuseurs et sprays : Entre 10 et 15 %, selon l’intensité souhaitée. Spécifications techniques : Solubilité : Insoluble dans l’eau, soluble dans l’alcool et les bases huileuses. Point éclair : &gt; 257°F Vanilline : 5.75 % (peut provoquer une décoloration significative dans les formulations). Gravité spécifique : 1.056 Origine : Fabriqué au Québec, Canada. Exemptions : Cette fragrance est formulée sans parabènes et sans phtalates. Conformité : Conforme aux réglementations de Santé Canada et aux normes de l’IFRA (International Fragrance Association). Mise en garde et conformité : Usage externe uniquement. Éviter tout contact avec les yeux. Respectez les recommandations de dosage pour garantir la sécurité de vos produits finis. Savon procédé à froid : Testez votre recette, car cette fragrance peut légèrement influencer la trace et provoquer une décoloration en raison de la teneur élevée en vanilline. Important : Effectuez toujours des tests préalables, car chaque fragrance réagit différemment selon la formulation. Responsabilité : Pure Arôme ne peut être tenu responsable des incidents, accidents ou réactions liés au produit fini créé par le client. Document : IFRA certificat Baiser Obscur fragrance.pdf ",Propre,2026-03-27
Baiser rose fragrance,Fragrances,https://www.purearome.com/fr/produit/baiser-rose-fragrance,Fragrance,,"Fragrance Baiser Rose | Parfum floral fruité et chaleureux  Accueil Produits Baiser rose fragrance Baiser rose fragrance Sku: FBAIROSE En stock Baiser rose fragrance Sku: FBAIROSE En stock 6,95 $ CAD Produit non disponible à l'achat en ligne Partager Fragrance Baiser Rose – Pure Arôme Laboratoire La fragrance Baiser Rose est une composition florale-fruitée gourmande, lumineuse et séduisante, pensée pour créer une ambiance chaleureuse, féminine et enveloppante. L’ouverture est juteuse, sucrée et vibrante, rappelant un mélange de petits fruits rouges éclatants. Le cœur devient plus floral et velouté, apportant une touche romantique et élégante. Le fond prolonge la sensation avec une douceur crémeuse et chaleureuse, laissant un sillage réconfortant et sophistiqué. La fragrance Baiser Rose est moderne, équilibrée et professionnelle, idéale pour des créations haut de gamme, gourmandes et accrocheuses. Notes olfactives Tête : fruits rouges juteux, fraîcheur lumineuse et sucrée Cœur : bouquet floral doux, accord velouté et romantique Fond : douceur gourmande, chaleur enveloppante et sensuelle Usages et applications La fragrance Baiser Rose est parfaitement adaptée aux formulations visant une ambiance gourmande, féminine et élégante : Savons et cosmétiques : jusqu’à 3 % Chandelles et fondants : 6 à 10 % Diffuseurs et sprays d’ambiance : 10 à 15 % Caractéristiques techniques INCI : Parfum (Fragrance) Aspect : liquide clair à jaune pâle Odeur : florale, fruitée et sucrée Densité : 1.0684 – 1.0784 (20/20) Indice de réfraction : 1.5384 – 1.5484 (20 °C) Point éclair : 217.4 °F Vanilline : &lt; 0.05 % Solubilité : soluble dans l’alcool et les bases huileuses, insoluble dans l’eau Origine : fabriquée au Québec, Canada Sans parabènes, sans phtalates, non testée sur les animaux Mise en garde Usage externe uniquement – ne pas ingérer. Ne pas appliquer pur sur la peau. Éviter le contact avec les yeux et les muqueuses. Tenir hors de portée des enfants. Respecter les dosages recommandés et effectuer des tests préalables dans vos formulations. Pure Arôme Laboratoire ne peut être tenu responsable des accidents, incidents ou dommages causés par l’utilisation du produit fini créé par le client. Note importante, mais tout en douceur : Nous t’encourageons toujours à réaliser des essais en petite quantité avant toute production. Chaque création est unique : Pure Arôme Laboratoire partage ses conseils avec rigueur et bienveillance, et reste à tes côtés pour t’accompagner 💛. Document : Allergènes Baiser rose fragrance.pdf ",Propre,2026-03-27
Barbe à papa fragrance,Fragrances,https://www.purearome.com/fr/produit/barbe-a-papa-fragrance,Fragrance,,"Barbe à papa fragrance Accueil Produits Barbe à papa fragrance Barbe à papa fragrance Sku: FBPAPA En stock Barbe à papa fragrance Sku: FBPAPA En stock 6,95 $ CAD Produit non disponible à l'achat en ligne Partager Fragrance : Barbe à papa INCI : fragrance Plongez dans un univers sucré et réconfortant avec l’arôme Barbe à Papa, une fragrance douce et gourmande qui évoque les plaisirs d’enfance. Avec ses notes sucrées et vanillées, cette fragrance est idéale pour des créations originales et ludiques, qu’il s’agisse de cosmétiques ou de bougies. Caractéristiques principales : Notes olfactives : Sucrées, vanillées, avec une touche subtile de caramel. Utilisation recommandée : Convient aux savons, aux crèmes, aux lotions, aux chandelles, aux diffuseurs et autres créations DIY. Points forts : Arôme captivant et durable, parfaitement équilibré pour divers produits. Qualité : Formulée spécifiquement pour une utilisation sécuritaire dans les produits cosmétiques et les chandelles. Couleur : Liquide légèrement ambré. Applications et dosages suggérés : Cosmétiques : Jusqu’à 3 % (savons, crèmes, lotions). Chandelles : Jusqu’à 10 % pour une diffusion optimale de l’arôme. Diffuseurs et sprays : Entre 10 et 15 %, selon l’intensité souhaitée. Spécifications techniques : Solubilité : Insoluble dans l’eau, soluble dans l’alcool et les bases huileuses. Point éclair : &gt; 289°F Vanilline : &lt; 2 % Gravité spécifique : 1.049 Origine : Fabriqué au Québec, Canada. Exemptions : Cette fragrance est formulée sans parabènes et sans phtalates. Conformité : Conforme aux réglementations de Santé Canada et aux normes de l’IFRA (International Fragrance Association). Mise en garde et conformité : Usage externe uniquement. Éviter tout contact avec les yeux. Respectez les recommandations de dosage pour garantir la sécurité de vos produits finis. Savon procédé à froid : Testez votre recette, car cette fragrance peut légèrement influencer la trace et provoquer une décoloration en raison de la teneur élevée en vanilline. Important : Effectuez toujours des tests préalables, car chaque fragrance réagit différemment selon la formulation. Responsabilité : Pure Arôme ne peut être tenu responsable des incidents, accidents ou réactions liés au produit fini créé par le client. Document : Allergènes Barbe à papa fragrance.pdf ",Propre,2026-03-27
Biscuit d'Avoine fragrance,Fragrances,https://www.purearome.com/fr/produit/biscuit-d-avoine-fragrance,Fragrance,,"Biscuit d&#x27;Avoine fragrance Accueil Produits Biscuit d'Avoine fragrance Biscuit d'Avoine fragrance Sku: FBISAV En stock Biscuit d'Avoine fragrance Sku: FBISAV En stock 6,95 $ CAD Produit non disponible à l'achat en ligne Partager Fragrance : Biscuit d'Avoine INCI : fragrance Découvrez l’arôme chaleureux et réconfortant Biscuit d’Avoine, une fragrance délicieuse qui évoque l’odeur irrésistible des biscuits maison fraîchement cuits. Parfaite pour des créations douces et gourmandes, elle s’intègre à merveille dans les cosmétiques, les bougies ou tout autre projet DIY. Caractéristiques principales : Notes olfactives : Mélange sucré et chaleureux de vanille, d’avoine et d’une subtile touche de caramel. Utilisation recommandée : Convient aux savons, aux crèmes, aux lotions, aux chandelles, aux diffuseurs et autres créations DIY. Points forts : Arôme gourmand et durable, parfait pour des produits cosy et réconfortants. Qualité : Formulée spécifiquement pour une utilisation sécuritaire dans les produits cosmétiques et les chandelles. Couleur : Légèrement jaune. Applications et dosages suggérés : Cosmétiques : Jusqu’à 3 % (savons, crèmes, lotions). Chandelles : Jusqu’à 10 % pour une diffusion optimale de l’arôme. Diffuseurs et sprays : Entre 10 et 15 %, selon l’intensité souhaitée. Spécifications techniques : Solubilité : Insoluble dans l’eau, soluble dans l’alcool et les bases huileuses. Point éclair : &gt; 241°F Vanilline : 0,97 % (peut provoquer une décoloration significative dans les formulations). Gravité spécifique : 1.058 Origine : Fabriqué au Québec, Canada. Exemptions : Cette fragrance est formulée sans parabènes et sans phtalates. Conformité : Conforme aux réglementations de Santé Canada et aux normes de l’IFRA (International Fragrance Association). Mise en garde et conformité : Usage externe uniquement. Éviter tout contact avec les yeux. Respectez les recommandations de dosage pour garantir la sécurité de vos produits finis. Savon procédé à froid : Testez votre recette, car cette fragrance peut accélérer la trace. Important : Effectuez toujours des tests préalables, car chaque fragrance réagit différemment selon la formulation. Responsabilité : Pure Arôme ne peut être tenu responsable des incidents, accidents ou réactions liés au produit fini créé par le client. ",Propre,2026-03-27
Bleu fragrance,Fragrances,https://www.purearome.com/fr/produit/bleu-fragrance,Fragrance,,"Bleu fragrance Accueil Produits Bleu fragrance Bleu fragrance Sku: FRBLEU En stock Bleu fragrance Sku: FRBLEU En stock 10,95 $ CAD Produit non disponible à l'achat en ligne Partager Fragrance : Bleu INCI : fragrance Découvrez l’arôme captivant et sophistiqué de Bleu, une fragrance moderne qui marie fraîcheur aromatique, notes boisées et une touche d’élégance épicée. Cette fragrance intense évoque la confiance, le charisme et la liberté, parfait pour sublimer vos créations artisanales. Caractéristiques principales : Notes olfactives : Fraîches, boisées et légèrement épicées, avec une profondeur aromatique et musquée qui inspire puissance et raffinement. Utilisation recommandée : Convient parfaitement aux savons, crèmes, lotions, chandelles, diffuseurs, sprays d’ambiance et autres créations artisanales. Points forts : Une fragrance élégante et contemporaine, idéale pour des produits modernes et intemporels. Qualité : Formulée pour une utilisation sécuritaire dans les cosmétiques et chandelles. Couleur : Bleu . Applications et dosages suggérés : Cosmétiques : Jusqu’à 3 % (savons, crèmes, lotions). Chandelles : Jusqu’à 10 % pour une diffusion optimale de l’arôme. Diffuseurs et sprays : Entre 10 et 15 %, selon l’intensité souhaitée. Spécifications techniques : Solubilité : Insoluble dans l’eau, soluble dans l’alcool et les bases huileuses. Point éclair : &gt; 287°F Vanilline : 0 % Gravité spécifique : 0,977 Origine : Fabriqué au Québec, Canada. Exemptions : Cette fragrance est formulée sans parabènes et sans phtalates. Conformité : Conforme aux réglementations de Santé Canada et à l’IFRA (International Fragrance Association) . Mise en garde et conformité : Usage externe uniquement. Éviter tout contact avec les yeux. Respectez les recommandations de dosage pour garantir la sécurité de vos produits finis. Savon procédé à froid : Testez votre recette, car cette fragrance peut légèrement influencer la trace. Important : Effectuez toujours des tests préalables, car chaque fragrance réagit différemment selon la formulation. Responsabilité : Pure Arôme ne peut être tenu responsable des incidents, accidents ou réactions liés au produit fini créé par le client. Document : Allergènes Bleu fragrance.pdf ",Propre,2026-03-27
Bois de santal fragrance,Fragrances,https://www.purearome.com/fr/produit/bois-de-santal-fragrance,Fragrance,,"Bois de santal fragrance Accueil Produits Bois de santal fragrance Bois de santal fragrance Sku: FBOISSAN En stock Bois de santal fragrance Sku: FBOISSAN En stock 6,95 $ CAD Produit non disponible à l'achat en ligne Partager Fragrance : Bois de santal INCI : fragrance Découvrez l’arôme raffiné et intemporel Bois de Santal, une fragrance riche et boisée qui inspire sérénité et sophistication. Parfaite pour d'élégantes créations apaisantes, cette fragrance convient autant aux cosmétiques qu’aux bougies, apportant une touche luxueuse et harmonieuse à vos projets DIY. Caractéristiques principales : Notes olfactives : Riche et boisée, avec des nuances crémeuses et légèrement épicées. Utilisation recommandée : Convient aux savons, aux crèmes, aux lotions, aux chandelles, aux diffuseurs et autres créations artisanales. Points forts : Arôme durable et raffiné, parfait pour d'élégants produits apaisants. Qualité : Formulée spécifiquement pour une utilisation sécuritaire dans les produits cosmétiques et les chandelles. Couleur : Liquide jaune. Applications et dosages suggérés : Cosmétiques : Jusqu’à 3 % (savons, crèmes, lotions). Chandelles : Jusqu’à 10 % pour une diffusion optimale de l’arôme. Diffuseurs et sprays : Entre 10 et 15 %, selon l’intensité souhaitée. Spécifications techniques : Solubilité : Insoluble dans l’eau, soluble dans l’alcool et les bases huileuses. Point éclair : &gt; 237°F Vanilline : &lt; 5 % Gravité spécifique : 0,994 Origine : Fabriqué au Québec, Canada. Exemptions : Cette fragrance est formulée sans parabènes et sans phtalates. Conformité : Conforme aux réglementations de Santé Canada et aux normes de l’IFRA (International Fragrance Association). Mise en garde et conformité : Usage externe uniquement. Éviter tout contact avec les yeux. Respectez les recommandations de dosage pour garantir la sécurité de vos produits finis. Savon procédé à froid : Testez votre recette, car cette fragrance peut accélérer la trace. Important : Effectuez toujours des tests préalables, car chaque fragrance réagit différemment selon la formulation. Responsabilité : Pure Arôme ne peut être tenu responsable des incidents, accidents ou réactions liés au produit fini créé par le client. Document : Allergènes Bois de santal fragrance.pdf ",Propre,2026-03-27
Cachemire fragrance,Fragrances,https://www.purearome.com/fr/produit/cachemire-fragrance,Fragrance,,"Fragrance Cachemire – Chaleur, luxe et douceur absolue  Accueil Produits Cachemire fragrance Cachemire fragrance Sku: FCAMIRE En stock Cachemire fragrance Sku: FCAMIRE En stock 6,95 $ CAD Produit non disponible à l'achat en ligne Partager Fragrance Cachemire – Pure Arôme Laboratoire. La fragrance Cachemire est une composition élégante, sensuelle et enveloppante qui évoque la douceur d’un tissu précieux et la chaleur d’un cocon luxueux. Ses notes boisées et ambrées se marient à des accords musqués et poudrés, offrant une sensation réconfortante et sophistiquée. Riche, chaleureuse et apaisante, elle insuffle à vos créations un sillage à la fois velouté, raffiné et durable. Parfaite pour vos bougies , savons , lotions et diffuseurs , cette fragrance incarne la beauté du confort et du luxe discret. Notes olfactives Tête : accord propre et floral doux, nuances de bois clair Cœur : bois de cèdre, ambre doré, fleurs blanches et touche de musc Fond : santal crémeux, vanille subtile et notes de cachemire chaud Usages et applications La fragrance Cachemire sublime vos créations avec une signature boisée, ambrée et musquée d’un raffinement exceptionnel : Savons et cosmétiques : jusqu’à 3 % Bougies et fondants : jusqu’à 10 % Diffuseurs et sprays d’ambiance : 10 à 15 % Caractéristiques techniques INCI : Parfum (Fragrance) Aspect : liquide clair à jaune pâle Odeur : cachemire – caractéristique, boisée, ambrée et poudrée Densité : 1.0202 – 1.0302 (20/20) Indice de réfraction : 1.5169 – 1.5269 (20 °C) Point éclair : 239 °F Vanilline : &lt; 2 % Solubilité : soluble dans l’alcool et les bases huileuses, insoluble dans l’eau Origine : fabriquée au Québec, Canada Sans parabènes, sans phtalates, non testée sur les animaux Mise en garde Usage externe uniquement – ne pas ingérer. Ne pas appliquer pur sur la peau. Éviter le contact avec les yeux et les muqueuses. Tenir hors de portée des enfants. Respecter les dosages recommandés et effectuer des tests préalables dans vos formulations. Pure Arôme Laboratoire ne peut être tenu responsable des accidents, incidents ou dommages causés par l’utilisation du produit fini créé par le client. Note importante, mais tout en douceur : Nous t’encourageons toujours à réaliser des essais en petite quantité avant toute production. Chaque création est unique : Pure Arôme Laboratoire partage ses conseils avec rigueur et bienveillance, et reste à tes côtés pour t’accompagner 💛. Document : Allergènes Cachemire fragrance.pdf ",Propre,2026-03-27
Café noir fragrance,Fragrances,https://www.purearome.com/fr/produit/cafe-noir-fragrance,Fragrance,,"Café noir fragrance Accueil Produits Café noir fragrance Café noir fragrance Sku: FCAFE En stock Café noir fragrance Sku: FCAFE En stock 6,95 $ CAD Produit non disponible à l'achat en ligne Partager Fragrance : Café noir INCI : fragrance Découvrez la fragrance intense et captivant de Café Noir, une fragrance riche et enveloppante qui évoque l’authenticité des grains de café fraîchement moulus. Idéale pour vos projets DIY, cette fragrance apporte une ambiance chaleureuse et sophistiquée à vos créations, qu’il s’agisse de cosmétiques ou de chandelles. Avec ses notes profondes et corsées, elle est parfaite pour ajouter une touche gourmande et réconfortante à vos produits. Caractéristiques principales : Notes olfactives : Intenses et corsées, avec des nuances terreuses qui rappellent un espresso fraîchement préparé. Utilisation recommandée : Parfaite pour les savons, crèmes, lotions, chandelles, diffuseurs, sprays d’ambiance, et autres créations DIY. Points forts : Arôme durable, authentique et chaleureux, parfait pour des produits uniques. Qualité : Formulée pour une utilisation sécuritaire dans les cosmétiques et chandelles. Couleur : Liquide ambré. Applications et dosages suggérés : Cosmétiques : Jusqu’à 3 % (savons, crèmes, lotions). Chandelles : Jusqu’à 10 % pour une diffusion optimale de l’arôme. Diffuseurs et sprays : Entre 10 et 15 %, selon l’intensité souhaitée. Spécifications techniques : Solubilité : Insoluble dans l’eau, soluble dans l’alcool et les bases huileuses. Point éclair : &gt; 190°F Vanilline : &lt; 2 % Gravité spécifique : 1,015 Origine : Fabriqué au Québec, Canada. Exemptions : Cette fragrance est formulée sans parabènes et sans phtalates. Conformité : Conforme aux réglementations de Santé Canada et aux normes de l’IFRA (International Fragrance Association). Mise en garde et conformité : Usage externe uniquement. Éviter tout contact avec les yeux. Respectez les recommandations de dosage pour garantir la sécurité de vos produits finis. Savon procédé à froid : Testez votre recette, car cette fragrance peut accélérer la trace. Important : Effectuez toujours des tests préalables, car chaque fragrance réagit différemment selon la formulation. Responsabilité : Pure Arôme ne peut être tenu responsable des incidents, accidents ou réactions liés au produit fini créé par le client. Document : Allergènes Café noir fragrance.pdf ",Propre,2026-03-27
Calendula et Lait de soja fragrance,Fragrances,https://www.purearome.com/fr/produit/calendula-et-lait-de-soja-fragrance,Fragrance,,"Calendula et Lait de soja | Fragrance crémeuse douce  Accueil Produits Calendula et Lait de soja fragrance Calendula et Lait de soja fragrance Sku: FCLSOJA En stock Calendula et Lait de soja fragrance Sku: FCLSOJA En stock 6,95 $ CAD Produit non disponible à l'achat en ligne Partager Fragrance Calendula et Lait de soja – Pure Arôme Laboratoire. La fragrance Calendula et Lait de soja dévoile une signature douce, crémeuse et florale, inspirée des soins enveloppants et apaisants. Son profil olfactif évoque la tendresse du lait végétal chaud, combinée à une fleur délicate rappelant le calendula par sa rondeur, sa douceur et sa sensation réconfortante sur la peau. Subtilement florale et lactée, cette fragrance apporte une impression de propreté, de confort et de calme, idéale pour des créations cosmétiques et d’ambiance à l’esprit cocooning, naturel et soigné. Notes olfactives Tête : notes lactées douces, accords floraux légers et propres Cœur : fleur crémeuse inspirée du calendula, nuances florales délicates et veloutées Fond : musc doux, accord crémeux, chaud et légèrement poudré Usages et applications La fragrance Calendula et Lait de soja est particulièrement appréciée pour son caractère doux, enveloppant et universel : Savons et cosmétiques : jusqu’à 3 % Bougies et fondants : jusqu’à 10 % Diffuseurs et sprays d’ambiance : 10 à 15 % Caractéristiques techniques INCI : Parfum (Fragrance) Aspect : liquide clair à jaune pâle Odeur : crémeuse, florale, douce et réconfortante Densité : 1.0336 – 1.0436 (20/20) Indice de réfraction : 1.5122 – 1.5222 (20 °C) Point éclair : 212 °F Vanilline : 0 % Solubilité : soluble dans l’alcool et les bases huileuses, insoluble dans l’eau Origine : fabriquée au Québec, Canada Sans parabènes, sans phtalates, non testée sur les animaux Mise en garde Usage externe uniquement – ne pas ingérer. Ne pas appliquer pur sur la peau. Éviter le contact avec les yeux et les muqueuses. Tenir hors de portée des enfants. Respecter les dosages recommandés et effectuer des tests préalables dans vos formulations. Pure Arôme Laboratoire ne peut être tenu responsable des accidents, incidents ou dommages causés par l’utilisation du produit fini créé par le client. Note importante, mais tout en douceur : Nous t’encourageons toujours à réaliser des essais en petite quantité avant toute production. Chaque création est unique : Pure Arôme Laboratoire partage ses conseils avec rigueur et bienveillance, et reste à tes côtés pour t’accompagner 💛. Document : Allergènes Calendula et Lait de soja fragrance.pdf ",Propre,2026-03-27
